setup,modality,model_depth,data_split,dropout,pretrained,attention_target,best_val_loss,best_epoch,val_acc,precision,recall,f1_score,specificity
mdepth152_dropnone_all_no_pretrain,mri_pet_ot_attn,152,all,none,no_pretrain,none,0.4824,17,0.7917,0.7777,0.7952,0.7822,0.7952
mdepth152_dropnone_all_with_pretrain,mri_pet_ot_attn,152,all,none,with_pretrain,none,0.3920,30,0.8472,0.8625,0.8052,0.8222,0.8052
mdepth152_dropnone_balanced_no_pretrain,mri_pet_ot_attn,152,balanced,none,no_pretrain,none,0.5243,21,0.7500,0.7504,0.7500,0.7499,0.7500
mdepth152_dropnone_balanced_with_pretrain,mri_pet_ot_attn,152,balanced,none,with_pretrain,none,0.5052,21,0.7500,0.7504,0.7500,0.7499,0.7500
mdepth200_drop0.1_all_no_pretrain,mri_pet_ot_attn,200,all,0.1,no_pretrain,none,0.3913,43,0.8611,0.8495,0.8495,0.8495,0.8495
mdepth200_drop0.1_all_with_pretrain,mri_pet_ot_attn,200,all,0.1,with_pretrain,none,0.4129,31,0.8194,0.8039,0.8169,0.8088,0.8169
mdepth200_drop0.1_balanced_no_pretrain,mri_pet_ot_attn,200,balanced,0.1,no_pretrain,none,0.5339,7,0.7885,0.7889,0.7885,0.7884,0.7885
mdepth200_drop0.1_balanced_with_pretrain,mri_pet_ot_attn,200,balanced,0.1,with_pretrain,none,0.5420,12,0.7308,0.7308,0.7308,0.7308,0.7308
mdepth200_drop0.2_all_no_pretrain,mri_pet_ot_attn,200,all,0.2,no_pretrain,none,0.3926,39,0.8472,0.8416,0.8219,0.8299,0.8219
mdepth200_drop0.2_all_with_pretrain,mri_pet_ot_attn,200,all,0.2,with_pretrain,none,0.3752,38,0.8333,0.8705,0.7776,0.7983,0.7776
mdepth200_drop0.2_balanced_no_pretrain,mri_pet_ot_attn,200,balanced,0.2,no_pretrain,none,0.5409,7,0.7885,0.7889,0.7885,0.7884,0.7885
mdepth200_drop0.2_balanced_with_pretrain,mri_pet_ot_attn,200,balanced,0.2,with_pretrain,none,0.5317,16,0.7500,0.7534,0.7500,0.7492,0.7500
mdepth200_drop0.3_all_no_pretrain,mri_pet_ot_attn,200,all,0.3,no_pretrain,none,0.3809,43,0.8472,0.8328,0.8470,0.8382,0.8470
mdepth200_drop0.3_all_with_pretrain,mri_pet_ot_attn,200,all,0.3,with_pretrain,none,0.4117,38,0.8194,0.8165,0.7834,0.7947,0.7834
mdepth200_drop0.3_balanced_no_pretrain,mri_pet_ot_attn,200,balanced,0.3,no_pretrain,none,0.5420,7,0.7692,0.7708,0.7692,0.7689,0.7692
mdepth200_drop0.3_balanced_with_pretrain,mri_pet_ot_attn,200,balanced,0.3,with_pretrain,none,0.5332,7,0.8077,0.8077,0.8077,0.8077,0.8077
mdepth200_dropnone_all_no_pretrain,mri_pet_ot_attn,200,all,none,no_pretrain,none,0.4020,30,0.8611,0.8495,0.8495,0.8495,0.8495
mdepth200_dropnone_all_with_pretrain,mri_pet_ot_attn,200,all,none,with_pretrain,none,0.4145,38,0.7917,0.7777,0.7617,0.7680,0.7617
mdepth200_dropnone_balanced_no_pretrain,mri_pet_ot_attn,200,balanced,none,no_pretrain,none,0.5369,7,0.7692,0.7692,0.7692,0.7692,0.7692
